station_name,line,fact,place_name,place_type,place_description,walking_minutes
Рижская,Большая кольцевая линия,Открыта 1 марта 2023 года. Одна из трёх самых глубоких станций БКЛ (63,5 м). Архитектурный элемент — сверкающие арочные порталы из нержавеющей стали, символизирующие въезд в город. Пересадка на станцию «Рижская» Калужско-Рижской линии.,Храм Иконы Божией Матери «Знамение»,Храм,Православный храм рядом с Рижским рынком.,8
Марьина Роща,Большая кольцевая линия,Открыта 1 марта 2023 года. Самая глубокая станция БКЛ (74 м). Самый длинный эскалатор в Москве — 130 метров. Архитектура ассоциируется с усадебным убранством. Тюбинги чугунные — необлицованные, под стеклом.,Детский парк «Фестивальный»,Парк,Парк с фонтанами, игровыми площадками и аттракционами.,3
Марьина Роща,Большая кольцевая линия,Открыта 1 марта 2023 года. Самая глубокая станция БКЛ (74 м). Самый длинный эскалатор в Москве — 130 метров. Архитектура ассоциируется с усадебным убранством. Тюбинги чугунные — необлицованные, под стеклом.,Еврейский музей и центр толерантности,Музей,Крупнейший еврейский музей в мире. Интерактивные экспозиции.,14
Бульвар Карбышева (условно — будущее),Большая кольцевая линия,Станция БКЛ не представлена; в реестре 31 станция.,—,—,—,—
Физтех,Люблинско-Дмитровская линия,Открыта 7 сентября 2023 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа в честь МФТИ. Оформление в стиле «сталинского авангардизма», путевые стены украшены конструкцией из нержавеющей трубы в виде электромагнитной волны.,Московский физико-технический институт (МФТИ),Учебное заведение,Легендарный технический вуз — «Физтех». Кампус и корпуса института.,10
Физтех,Люблинско-Дмитровская линия,Открыта 7 сентября 2023 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа в честь МФТИ. Оформление в стиле «сталинского авангардизма», путевые стены украшены конструкцией из нержавеющей трубы в виде электромагнитной волны.,Парк «Северный»,Парк,Зелёная зона в районе Северный. Место для прогулок.,8
Физтех,Люблинско-Дмитровская линия,Открыта 7 сентября 2023 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа в честь МФТИ. Оформление в стиле «сталинского авангардизма», путевые стены украшены конструкцией из нержавеющей трубы в виде электромагнитной волны.,Дмитровское шоссе (благоустроенная зона),Улица,Широкая магистраль с пешеходными зонами.,3
Лианозово,Люблинско-Дмитровская линия,Открыта 7 сентября 2023 года. Архитекторы: Н.Шумаков и А.Некрасов. Станция мелкого заложения у пересечения Дмитровского шоссе и МЦД-1. Пересадка на одноимённую платформу МЦД-1.,ТПУ «Лианозово» (пересадка на МЦД-1),Транспортный узел,Удобная пересадка на Белорусско-Савёловский диаметр.,1
Лианозово,Люблинско-Дмитровская линия,Открыта 7 сентября 2023 года. Архитекторы: Н.Шумаков и А.Некрасов. Станция мелкого заложения у пересечения Дмитровского шоссе и МЦД-1. Пересадка на одноимённую платформу МЦД-1.,Лианозовский парк культуры и отдыха,Парк,Крупный парк с аттракционами, прудами и лыжной трассой.,6
Лианозово,Люблинско-Дмитровская линия,Открыта 7 сентября 2023 года. Архитекторы: Н.Шумаков и А.Некрасов. Станция мелкого заложения у пересечения Дмитровского шоссе и МЦД-1. Пересадка на одноимённую платформу МЦД-1.,Усадьба Алтуфьево,Усадьба/Музей,Восстановленная усадьба XVIII века с прудами и храмом.,12
Яхромская,Люблинско-Дмитровская линия,Открыта 7 сентября 2023 года. Архитекторы: Н.Шумаков и А.Некрасов. Главный элемент оформления — гигантское фотопанно «800-летие Москвы» (163×5 м) работы Александра Рукавишникова.,Фотопанно «800-летие Москвы»,Достопримечательность,Огромное панно из 111 панелей с архивными фотографиями 1947 года: эстафеты, парады, празднования.,1
Яхромская,Люблинско-Дмитровская линия,Открыта 7 сентября 2023 года. Архитекторы: Н.Шумаков и А.Некрасов. Главный элемент оформления — гигантское фотопанно «800-летие Москвы» (163×5 м) работы Александра Рукавишникова.,Дмитровский парк,Парк,Современный парк с прогулочными зонам и фонтаном.,5
Яхромская,Люблинско-Дмитровская линия,Открыта 7 сентября 2023 года. Архитекторы: Н.Шумаков и А.Некрасов. Главный элемент оформления — гигантское фотопанно «800-летие Москвы» (163×5 м) работы Александра Рукавишникова.,ТЦ «Яхромский»,ТЦ,Торговый центр с гипермаркетом и кафе.,4
Селигерская,Люблинско-Дмитровская линия,Открыта 22 марта 2018 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по Селигерскому проезду и озеру Селигер. Оформление: светло-голубые тона, остекление путевых стен с панорамами.,Парк «Ангарские пруды»,Парк,Большой парк с каскадом прудов и фонтанами.,6
Селигерская,Люблинско-Дмитровская линия,Открыта 22 марта 2018 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по Селигерскому проезду и озеру Селигер. Оформление: светло-голубые тона, остекление путевых стен с панорамами.,Селигерский проезд (пешеходная зона),Улица,Современная благоустроенная улица.,2
Селигерская,Люблинско-Дмитровская линия,Открыта 22 марта 2018 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по Селигерскому проезду и озеру Селигер. Оформление: светло-голубые тона, остекление путевых стен с панорамами.,ТРЦ «Селигер Сити»,ТЦ,Крупный ТЦ с кинотеатром.,7
Верхние Лихоборы,Люблинско-Дмитровская линия,Открыта 22 марта 2018 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по исторической местности Верхние Лихоборы. Станция глубокого заложения.,Электродепо «Лихоборы»,Достопримечательность,Крупнейшее электродепо Московского метрополитена.,4
Верхние Лихоборы,Люблинско-Дмитровская линия,Открыта 22 марта 2018 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по исторической местности Верхние Лихоборы. Станция глубокого заложения.,Парк «Дубки»,Парк,Исторический парк с прудами и прогулочными аллеями.,10
Верхние Лихоборы,Люблинско-Дмитровская линия,Открыта 22 марта 2018 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по исторической местности Верхние Лихоборы. Станция глубокого заложения.,Лихоборский пруд,Парк,Пруд с прогулочной зоной.,6
Окружная,Люблинско-Дмитровская линия,Открыта 22 марта 2018 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по Малому кольцу МЖД. Пересадка на станцию «Окружная» МЦК.,Станция метро «Окружная» (МЦК),Транспортный узел,Пересадка на Московское центральное кольцо.,2
Окружная,Люблинско-Дмитровская линия,Открыта 22 марта 2018 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по Малому кольцу МЖД. Пересадка на станцию «Окружная» МЦК.,Парк «Окружной»,Парк,Благоустроенный парк с детскими и спортивными площадками.,4
Окружная,Люблинско-Дмитровская линия,Открыта 22 марта 2018 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по Малому кольцу МЖД. Пересадка на станцию «Окружная» МЦК.,Ж/д платформа Окружная,Транспортный узел,Пригородные электрички Савёловского направления.,3
Петровско-Разумовская,Люблинско-Дмитровская линия,Открыта 29 августа 2016 года (второй зал). Архитекторы: Н.Шумаков и А.Некрасов. Кросс-платформенная пересадка на Серпуховско-Тимирязевскую линию.,Парк «Петровско-Разумовское»,Парк,Большая лесопарковая зона с прудами.,8
Петровско-Разумовская,Люблинско-Дмитровская линия,Открыта 29 августа 2016 года (второй зал). Архитекторы: Н.Шумаков и А.Некрасов. Кросс-платформенная пересадка на Серпуховско-Тимирязевскую линию.,Российский государственный аграрный университет (Тимирязевская академия),Учебное заведение,Историческое здание сельскохозяйственной академии.,10
Петровско-Разумовская,Люблинско-Дмитровская линия,Открыта 29 августа 2016 года (второй зал). Архитекторы: Н.Шумаков и А.Некрасов. Кросс-платформенная пересадка на Серпуховско-Тимирязевскую линию.,Станция метро «Петровско-Разумовская» (серая ветка),Транспортный узел,Кросс-платформенная пересадка.,1
Фонвизинская,Люблинско-Дмитровская линия,Открыта 16 сентября 2016 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа в честь писателя Д.И. Фонвизина. Станция пилонного типа в чугунной обделке.,Усадьба Фонвизиных (усадьба «Марфино» — удалённо, но тематически),Усадьба,Владельческая усадьба, с которой связано название станции.,не применимо (историческая отсылка)
Фонвизинская,Люблинско-Дмитровская линия,Открыта 16 сентября 2016 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа в честь писателя Д.И. Фонвизина. Станция пилонного типа в чугунной обделке.,ТЦ «Фонвизинский»,ТЦ,Торговый центр с продуктовым универсамом.,4
Фонвизинская,Люблинско-Дмитровская линия,Открыта 16 сентября 2016 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа в честь писателя Д.И. Фонвизина. Станция пилонного типа в чугунной обделке.,Парк «Дубовая роща» (Тимирязевский парк),Парк,Лесопарк с вековыми дубами.,12
Бутырская,Люблинско-Дмитровская линия,Открыта 16 сентября 2016 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по Бутырскому району и Бутырскому хутору.,Бутырский парк,Парк,Зелёная зона для спорта и отдыха.,7
Бутырская,Люблинско-Дмитровская линия,Открыта 16 сентября 2016 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по Бутырскому району и Бутырскому хутору.,ТЦ «Бутырский»,ТЦ,Небольшой ТЦ с магазинами и кафе.,3
Бутырская,Люблинско-Дмитровская линия,Открыта 16 сентября 2016 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по Бутырскому району и Бутырскому хутору.,Сквер на Огородном проезде,Парк,Ухоженный сквер с лавочками.,5
Марьина Роща,Люблинско-Дмитровская линия,Открыта 19 июня 2010 года. Архитекторы: Н.Шумаков и А.Некрасов. Пересадка на одноимённую станцию Большой кольцевой линии (БКЛ).,Станция метро «Марьина Роща» (БКЛ),Транспортный узел,Пересадка на Большую кольцевую линию.,2
Марьина Роща,Люблинско-Дмитровская линия,Открыта 19 июня 2010 года. Архитекторы: Н.Шумаков и А.Некрасов. Пересадка на одноимённую станцию Большой кольцевой линии (БКЛ).,Сад «Эрмитаж»,Парк/Театр,Уютный исторический сад с театрами и кинотеатром под открытым небом.,13
Марьина Роща,Люблинско-Дмитровская линия,Открыта 19 июня 2010 года. Архитекторы: Н.Шумаков и А.Некрасов. Пересадка на одноимённую станцию Большой кольцевой линии (БКЛ).,Еврейский музей и центр толерантности,Музей,Крупнейший в мире интерактивный музей еврейской истории.,15
Марьина Роща,Люблинско-Дмитровская линия,Открыта 19 июня 2010 года. Архитекторы: Н.Шумаков и А.Некрасов. Пересадка на одноимённую станцию Большой кольцевой линии (БКЛ).,Шереметьевская улица,Улица,Крупная улица с магазинами.,3
Достоевская,Люблинско-Дмитровская линия,Открыта 19 июня 2010 года. Архитекторы: Л.Попов и С.Костиков. Оформление в чёрно-белых тонах со сценами из романов Достоевского. Пересадка на Кольцевую линию.,Театр «Современник»,Театр,Легендарный театр Галины Волчек и Олега Ефремова.,3
Достоевская,Люблинско-Дмитровская линия,Открыта 19 июня 2010 года. Архитекторы: Л.Попов и С.Костиков. Оформление в чёрно-белых тонах со сценами из романов Достоевского. Пересадка на Кольцевую линию.,Цветной бульвар,Улица,Один из старейших бульваров. Кафе, магазины.,5
Достоевская,Люблинско-Дмитровская линия,Открыта 19 июня 2010 года. Архитекторы: Л.Попов и С.Костиков. Оформление в чёрно-белых тонах со сценами из романов Достоевского. Пересадка на Кольцевую линию.,Московский цирк Никулина на Цветном бульваре,Цирк,Старейший стационарный цирк России.,6
Достоевская,Люблинско-Дмитровская линия,Открыта 19 июня 2010 года. Архитекторы: Л.Попов и С.Костиков. Оформление в чёрно-белых тонах со сценами из романов Достоевского. Пересадка на Кольцевую линию.,Станция метро «Достоевская» (Кольцевая линия),Транспортный узел,Пересадка на Кольцевую линию.,1
Трубная,Люблинско-Дмитровская линия,"Открыта 30 августа 2007 года. Архитекторы: Н.Шумаков и А.Некрасов. Название от Трубной площади. Пилонная станция глубокого заложения. Оформление на тему ""Старая Москва"", скамьи в нишах порталов.",Цветной бульвар,Улица,Пешеходный бульвар с фонтанами и кафе.,2
Трубная,Люблинско-Дмитровская линия,"Открыта 30 августа 2007 года. Архитекторы: Н.Шумаков и А.Некрасов. Название от Трубной площади. Пилонная станция глубокого заложения. Оформление на тему ""Старая Москва"", скамьи в нишах порталов.",Московский цирк Никулина на Цветном бульваре,Цирк,Легендарный цирк «Старый цирк».,4
Трубная,Люблинско-Дмитровская линия,"Открыта 30 августа 2007 года. Архитекторы: Н.Шумаков и А.Некрасов. Название от Трубной площади. Пилонная станция глубокого заложения. Оформление на тему ""Старая Москва"", скамьи в нишах порталов.",Рождественский монастырь,Храм,Женский монастырь XIV века. Древнейшая обитель Москвы.,6
Трубная,Люблинско-Дмитровская линия,"Открыта 30 августа 2007 года. Архитекторы: Н.Шумаков и А.Некрасов. Название от Трубной площади. Пилонная станция глубокого заложения. Оформление на тему ""Старая Москва"", скамьи в нишах порталов.",Театр «Школа современной пьесы»,Театр,Драматический театр на Неглинной.,8
Трубная,Люблинско-Дмитровская линия,"Открыта 30 августа 2007 года. Архитекторы: Н.Шумаков и А.Некрасов. Название от Трубной площади. Пилонная станция глубокого заложения. Оформление на тему ""Старая Москва"", скамьи в нишах порталов.",Памятник сотрудникам МВД (у выхода),Памятник,Монумент погибшим сотрудникам МВД.,2
Трубная,Люблинско-Дмитровская линия,"Открыта 30 августа 2007 года. Архитекторы: Н.Шумаков и А.Некрасов. Название от Трубной площади. Пилонная станция глубокого заложения. Оформление на тему ""Старая Москва"", скамьи в нишах порталов.",Станция метро «Цветной бульвар»,Транспортный узел,Пересадка на Серпуховско-Тимирязевскую линию.,3
Сретенский бульвар,Люблинско-Дмитровская линия,Открыта 29 декабря 2007 года. Архитекторы: Н.Шумаков и А.Некрасов. Пересадка на станции «Чистые пруды» и «Тургеневская».,Чистопрудный бульвар,Улица/Парк,Один из красивейших бульваров. Пруд с утками.,4
Сретенский бульвар,Люблинско-Дмитровская линия,Открыта 29 декабря 2007 года. Архитекторы: Н.Шумаков и А.Некрасов. Пересадка на станции «Чистые пруды» и «Тургеневская».,МХТ им. Чехова,Театр,Легендарный Московский Художественный театр.,7
Сретенский бульвар,Люблинско-Дмитровская линия,Открыта 29 декабря 2007 года. Архитекторы: Н.Шумаков и А.Некрасов. Пересадка на станции «Чистые пруды» и «Тургеневская».,Сретенский монастырь,Храм,Ставропигиальный мужской монастырь XVII века.,8
Сретенский бульвар,Люблинско-Дмитровская линия,Открыта 29 декабря 2007 года. Архитекторы: Н.Шумаков и А.Некрасов. Пересадка на станции «Чистые пруды» и «Тургеневская».,Театр «Современник»,Театр,Театр на Чистопрудном бульваре.,6
Сретенский бульвар,Люблинско-Дмитровская линия,Открыта 29 декабря 2007 года. Архитекторы: Н.Шумаков и А.Некрасов. Пересадка на станции «Чистые пруды» и «Тургеневская».,Памятник Грибоедову,Памятник,Скульптура на Чистопрудном бульваре.,3
Чкаловская,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Алёшина и др. Названа в честь лётчика В.П. Чкалова. Пересадка на станции «Курская» Арбатско-Покровской и Кольцевой линии.,Курский вокзал,Транспортный узел,Крупнейший вокзал. Поезда на юг и юго-восток.,3
Чкаловская,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Алёшина и др. Названа в честь лётчика В.П. Чкалова. Пересадка на станции «Курская» Арбатско-Покровской и Кольцевой линии.,ТРЦ «Атриум»,ТЦ,Крупный ТЦ прямо у выхода.,2
Чкаловская,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Алёшина и др. Названа в честь лётчика В.П. Чкалова. Пересадка на станции «Курская» Арбатско-Покровской и Кольцевой линии.,Садовая-Черногрязская улица (историческая застройка),Улица,Особняки и доходные дома XIX-начала XX века.,5
Чкаловская,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Алёшина и др. Названа в честь лётчика В.П. Чкалова. Пересадка на станции «Курская» Арбатско-Покровской и Кольцевой линии.,Памятник Чкалову (на площади),Памятник,Бронзовый лётчик на пьедестале.,4
Римская,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Л.Попов и Н.Растегняева. Названа в честь Рима (города-побратима). Оформление: колонны и фонтаны напоминают римские архитектурные мотивы.,Площадь Ильича (пересадка на Калининскую линию),Транспортный узел,Пересадка на станцию «Площадь Ильича».,2
Римская,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Л.Попов и Н.Растегняева. Названа в честь Рима (города-побратима). Оформление: колонны и фонтаны напоминают римские архитектурные мотивы.,Платформа «Серп и Молот» (МЦД-4),Транспортный узел,Пересадка на МЦД-4 «Калужско-Нижегородский диаметр».,4
Римская,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Л.Попов и Н.Растегняева. Названа в честь Рима (города-побратима). Оформление: колонны и фонтаны напоминают римские архитектурные мотивы.,Рогожская застава (исторический район),Улица,Район старообрядческой Москвы.,10
Крестьянская Застава,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Шумаков и др. Пересадка на станцию «Пролетарская» Таганско-Краснопресненской линии.,Музей «Подпольная типография 1905-1906 гг.»,Музей,Исторический музей в пекарне, где печатали листовки.,4
Крестьянская Застава,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Шумаков и др. Пересадка на станцию «Пролетарская» Таганско-Краснопресненской линии.,Парк «Крестьянская Застава»,Парк,Небольшой сквер с фонтаном.,3
Крестьянская Застава,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Шумаков и др. Пересадка на станцию «Пролетарская» Таганско-Краснопресненской линии.,Крестьянская застава (историческая площадь),Площадь,Транспортное кольцо. Памятник рабочим.,5
Дубровка,Люблинско-Дмитровская линия,Открыта 11 декабря 1999 года. Архитекторы: Н.Шумаков и др. Пересадка на станцию «Дубровка» МЦК.,Станция метро «Дубровка» (МЦК),Транспортный узел,Пересадка на Московское центральное кольцо.,2
Дубровка,Люблинско-Дмитровская линия,Открыта 11 декабря 1999 года. Архитекторы: Н.Шумаков и др. Пересадка на станцию «Дубровка» МЦК.,Парк «Дубровка»,Парк,Зелёная зона с прогулочными дорожками.,6
Дубровка,Люблинско-Дмитровская линия,Открыта 11 декабря 1999 года. Архитекторы: Н.Шумаков и др. Пересадка на станцию «Дубровка» МЦК.,Театр «Школа современной пьесы»,Театр,Современный драматический театр.,8
Кожуховская,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по району Кожухово.,Парк «Кожуховский»,Парк,Зелёная зона с детскими площадками.,5
Кожуховская,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по району Кожухово.,ТЦ «Кожуховский»,ТЦ,Торговый центр с универсамом.,3
Кожуховская,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по району Кожухово.,Храм Тихвинской иконы Божией Матери в Кожухове,Храм,Старинный храм XVII века.,7
Печатники,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Шумаков и др. Названа по району Печатники. Пересадка на одноимённую станцию БКЛ и МЦД-2.,Станция метро «Печатники» (БКЛ),Транспортный узел,Пересадка на Большую кольцевую линию.,2
Печатники,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Шумаков и др. Названа по району Печатники. Пересадка на одноимённую станцию БКЛ и МЦД-2.,Парк «Печатники»,Парк,Современное парковое пространство с амфитеатром и фонтанами.,6
Печатники,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Шумаков и др. Названа по району Печатники. Пересадка на одноимённую станцию БКЛ и МЦД-2.,Станция «Печатники» (МЦД-2),Транспортный узел,Пересадка на Курско-Рижский диаметр.,3
Печатники,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Шумаков и др. Названа по району Печатники. Пересадка на одноимённую станцию БКЛ и МЦД-2.,Музей-усадьба «Люблино»,Усадьба/Музей,Усадьба Дурасова с регулярным парком и прудами.,12
Волжская,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Шумаков и др. Единственная наземная крытая станция линии (метромост через реку Волгу — топоним).,Волжский бульвар,Улица,Оживлённая улица с магазинами.,3
Волжская,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Шумаков и др. Единственная наземная крытая станция линии (метромост через реку Волгу — топоним).,Парк «Кузьминки-Люблино»,Парк,Усадьба Голицыных и старинный парк.,8
Волжская,Люблинско-Дмитровская линия,Открыта 28 декабря 1995 года. Архитекторы: Н.Шумаков и др. Единственная наземная крытая станция линии (метромост через реку Волгу — топоним).,ТЦ «Волжский»,ТЦ,Небольшой ТЦ с продуктовым.,4
Люблино,Люблинско-Дмитровская линия,Открыта 25 декабря 1996 года. Архитекторы: Н.Шумаков и др. Названа по району Люблино. Станция мелкого заложения.,Усадьба Люблино («Дурасово»),Усадьба/Музей,Дворцово-парковый ансамбль XVIII века. Музей русской усадебной культуры.,6
Люблино,Люблинско-Дмитровская линия,Открыта 25 декабря 1996 года. Архитекторы: Н.Шумаков и др. Названа по району Люблино. Станция мелкого заложения.,Люблинский парк,Парк,Большой парк с каскадом прудов и аттракционами.,4
Люблино,Люблинско-Дмитровская линия,Открыта 25 декабря 1996 года. Архитекторы: Н.Шумаков и др. Названа по району Люблино. Станция мелкого заложения.,ТЦ «Люблинский»,ТЦ,Торговый центр с магазинами.,3
Братиславская,Люблинско-Дмитровская линия,Открыта 25 декабря 1996 года. Архитекторы: Н.Шумаков и др. Названа в честь столицы Словакии — города-побратима Братиславы.,Парк «Братиславский»,Парк,Зелёная зона с детскими площадками.,4
Братиславская,Люблинско-Дмитровская линия,Открыта 25 декабря 1996 года. Архитекторы: Н.Шумаков и др. Названа в честь столицы Словакии — города-побратима Братиславы.,ТРЦ «Братиславский»,ТЦ,Крупный ТЦ с кинотеатром.,2
Братиславская,Люблинско-Дмитровская линия,Открыта 25 декабря 1996 года. Архитекторы: Н.Шумаков и др. Названа в честь столицы Словакии — города-побратима Братиславы.,Братиславская улица,Улица,Оживлённая магистраль.,1
Марьино,Люблинско-Дмитровская линия,Открыта 25 декабря 1996 года. Архитекторы: Н.Шумаков и др. Самая напряжённая станция линии (60 тыс. пассажиров в сутки).,Парк «Марьино»,Парк,Большой парк с прудами и прогулочными зонами.,5
Марьино,Люблинско-Дмитровская линия,Открыта 25 декабря 1996 года. Архитекторы: Н.Шумаков и др. Самая напряжённая станция линии (60 тыс. пассажиров в сутки).,ТРЦ «Марьино»,ТЦ,Крупный ТЦ с гипермаркетом.,3
Марьино,Люблинско-Дмитровская линия,Открыта 25 декабря 1996 года. Архитекторы: Н.Шумаков и др. Самая напряжённая станция линии (60 тыс. пассажиров в сутки).,Башня «Марьино» (арт-объект),Достопримечательность,Инсталляция-символ района.,8
Борисово,Люблинско-Дмитровская линия,Открыта 2 декабря 2011 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по району Борисово.,Борисовский пруд,Парк,Крупный пруд на реке Городне.,6
Борисово,Люблинско-Дмитровская линия,Открыта 2 декабря 2011 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по району Борисово.,Парк «Борисовские пруды»,Парк,Прогулочная зона вокруг каскада прудов.,4
Борисово,Люблинско-Дмитровская линия,Открыта 2 декабря 2011 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по району Борисово.,Храм Святителя Николая в Борисове,Храм,Современный храм.,8
Шипиловская,Люблинско-Дмитровская линия,Открыта 2 декабря 2011 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по Шипиловскому проезду.,Парк «Шипиловский»,Парк,Зелёная зона с детскими площадками.,5
Шипиловская,Люблинско-Дмитровская линия,Открыта 2 декабря 2011 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по Шипиловскому проезду.,ТЦ «Шипиловский»,ТЦ,Торговый центр с универсамом.,3
Шипиловская,Люблинско-Дмитровская линия,Открыта 2 декабря 2011 года. Архитекторы: Н.Шумаков и А.Некрасов. Названа по Шипиловскому проезду.,Сквер на Шипиловской,Парк,Ухоженный сквер.,2
Зябликово,Люблинско-Дмитровская линия,Открыта 2 декабря 2011 года. Архитекторы: Н.Шумаков и А.Некрасов. Конечная станция на юге. Пересадка на станцию «Красногвардейская» Замоскворецкой линии.,Парк «Зябликово»,Парк,Зелёная зона со спортивными площадками.,6
Зябликово,Люблинско-Дмитровская линия,Открыта 2 декабря 2011 года. Архитекторы: Н.Шумаков и А.Некрасов. Конечная станция на юге. Пересадка на станцию «Красногвардейская» Замоскворецкой линии.,ТРЦ «Зябликово»,ТЦ,Крупный ТЦ с кинотеатром.,4
Зябликово,Люблинско-Дмитровская линия,Открыта 2 декабря 2011 года. Архитекторы: Н.Шумаков и А.Некрасов. Конечная станция на юге. Пересадка на станцию «Красногвардейская» Замоскворецкой линии.,Станция метро «Красногвардейская»,Транспортный узел,Пересадка на Замоскворецкую линию.,2
Зябликово,Люблинско-Дмитровская линия,Открыта 2 декабря 2011 года. Архитекторы: Н.Шумаков и А.Некрасов. Конечная станция на юге. Пересадка на станцию «Красногвардейская» Замоскворецкой линии.,Свято-Троицкий храм в Орехове-Борисове,Храм,Крупный современный храм.,10
Планерная,Таганско-Краснопресненская линия,Открыта 30 декабря 1975 года. Архитектор В.А. Тренин. Пилоны отделаны белым мрамором, пол — чёрным гранитом. Стены украшены геометрическими узорами из белых, голубовато-серых и жёлтых оттенков, что символизирует точность столярного дела. Название происходит от деревни Планёрное, известной столярными промыслами. Станция была самой северной в метро до открытия «Медведково».,Парк «Северное Тушино»,Парк,Большой парк на берегу Химкинского водохранилища. Пляжи, лодочная станция, прогулочные зоны.,10
Планерная,Таганско-Краснопресненская линия,Открыта 30 декабря 1975 года. Архитектор В.А. Тренин. Пилоны отделаны белым мрамором, пол — чёрным гранитом. Стены украшены геометрическими узорами из белых, голубовато-серых и жёлтых оттенков, что символизирует точность столярного дела. Название происходит от деревни Планёрное, известной столярными промыслами. Станция была самой северной в метро до открытия «Медведково».,Музей ВВС в Монино (экскурсии с трансфером),Музей,Огромная коллекция самолётов и вертолётов под открытым небом. Требуется трансфер.,15
